time2,DAG,TST,count,perc
Apr-21,0,Drug,202,0.995073892
Apr-21,3,Drug,1,0.004926108
Aug-20,0,Drug,264,0.970588235
Aug-20,1,Drug,6,0.022058824
Aug-20,2,Drug,1,0.003676471
Aug-20,3,Drug,1,0.003676471
Dec-20,0,Drug,228,0.987012987
Dec-20,1,Drug,3,0.012987013
Feb-20,0,Drug,112,0.910569106
Feb-20,1,Drug,7,0.056910569
Feb-20,2,Drug,4,0.032520325
Feb-21,0,Drug,204,0.990291262
Feb-21,1,Drug,1,0.004854369
Feb-21,2,Drug,1,0.004854369
Jan-20,0,Drug,199,0.929906542
Jan-20,1,Drug,9,0.042056075
Jan-20,2,Drug,3,0.014018692
Jan-20,3,Drug,3,0.014018692
Jan-21,0,Drug,210,0.976744186
Jan-21,1,Drug,3,0.013953488
Jan-21,2,Drug,1,0.004651163
Jan-21,3,Drug,1,0.004651163
Jul-20,0,Drug,295,0.976821192
Jul-20,1,Drug,1,0.003311258
Jul-20,2,Drug,4,0.013245033
Jul-20,3,Drug,2,0.006622517
Jun-20,0,Drug,399,0.963768116
Jun-20,1,Drug,9,0.02173913
Jun-20,2,Drug,3,0.007246377
Jun-20,3,Drug,2,0.004830918
Jun-20,4,Drug,1,0.002415459
Mar-20,0,Drug,344,0.90052356
Mar-20,1,Drug,34,0.089005236
Mar-20,2,Drug,2,0.005235602
Mar-20,3,Drug,2,0.005235602
Mar-21,0,Drug,207,0.995192308
Mar-21,1,Drug,1,0.004807692
May-20,0,Drug,87,0.956043956
May-20,1,Drug,4,0.043956044
May-21,0,Drug,196,0.994923858
May-21,4,Drug,1,0.005076142
Nov-20,0,Drug,247,0.988
Nov-20,1,Drug,1,0.004
Nov-20,2,Drug,1,0.004
Nov-20,3,Drug,1,0.004
Oct-20,0,Drug,107,1
Sep-20,0,Drug,151,0.993421053
Sep-20,4,Drug,1,0.006578947
Apr-21,0,Plant,266,0.985185185
Apr-21,1,Plant,4,0.014814815
Aug-20,0,Plant,317,0.98447205
Aug-20,1,Plant,2,0.00621118
Aug-20,2,Plant,2,0.00621118
Aug-20,3,Plant,1,0.00310559
Dec-20,0,Plant,18,1
Feb-20,0,Plant,249,0.898916968
Feb-20,1,Plant,24,0.086642599
Feb-20,2,Plant,3,0.010830325
Feb-20,3,Plant,1,0.003610108
Feb-21,0,Plant,273,0.985559567
Feb-21,1,Plant,2,0.007220217
Feb-21,2,Plant,2,0.007220217
Jan-20,0,Plant,131,0.897260274
Jan-20,1,Plant,12,0.082191781
Jan-20,2,Plant,3,0.020547945
Jan-21,0,Plant,242,0.987755102
Jan-21,1,Plant,1,0.004081633
Jan-21,2,Plant,1,0.004081633
Jan-21,5,Plant,1,0.004081633
Jul-20,0,Plant,267,0.956989247
Jul-20,1,Plant,11,0.039426523
Jul-20,3,Plant,1,0.003584229
Jun-20,0,Plant,287,0.944078947
Jun-20,1,Plant,12,0.039473684
Jun-20,2,Plant,3,0.009868421
Jun-20,3,Plant,2,0.006578947
Mar-20,0,Plant,490,0.876565295
Mar-20,1,Plant,63,0.112701252
Mar-20,2,Plant,6,0.010733453
Mar-20,3,Plant,2,0.003577818
Mar-21,0,Plant,273,0.996350365
Mar-21,2,Plant,1,0.003649635
May-20,0,Plant,259,0.863333333
May-20,1,Plant,34,0.113333333
May-20,2,Plant,6,0.02
May-20,3,Plant,1,0.003333333
May-21,0,Plant,254,0.9921875
May-21,1,Plant,1,0.00390625
May-21,3,Plant,1,0.00390625
Nov-20,0,Plant,334,0.997014925
Nov-20,1,Plant,1,0.002985075
Oct-20,0,Plant,197,0.947115385
Oct-20,1,Plant,1,0.004807692
Oct-20,2,Plant,5,0.024038462
Oct-20,3,Plant,2,0.009615385
Oct-20,4,Plant,3,0.014423077
Sep-20,0,Plant,240,0.991735537
Sep-20,1,Plant,2,0.008264463
